"0","000s:000ms:000us 374 ms"," CMD25(WRITE_MULTIPLE_BLOCK)","ARG:001B5388 CRC:07","SC:80","MMC:211.2MHz","Nrc:3",
"177","001s:878ms:878us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"178","001s:879ms:046us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"179","001s:879ms:250us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"180","001s:879ms:419us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"181","001s:879ms:622us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"182","001s:879ms:791us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"183","001s:879ms:994us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"184","001s:880ms:163us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"185","001s:880ms:366us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"186","001s:880ms:535us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"187","001s:880ms:739us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"188","001s:880ms:907us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"189","001s:881ms:111us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"190","001s:881ms:279us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"191","001s:881ms:483us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"192","001s:881ms:652us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"193","001s:881ms:855us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"194","001s:882ms:024us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"195","001s:882ms:227us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"196","001s:882ms:396us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"197","001s:882ms:600us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"198","001s:882ms:768us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"199","001s:882ms:972us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"200","001s:883ms:140us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"201","001s:883ms:344us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"202","001s:883ms:513us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"203","001s:883ms:716us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"204","001s:883ms:885us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"205","001s:884ms:088us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"206","001s:884ms:257us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"207","001s:884ms:461us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"208","001s:884ms:629us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"209","001s:884ms:833us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"210","001s:885ms:001us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"211","001s:885ms:205us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"212","001s:885ms:374us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"213","001s:885ms:577us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
